date,Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,passive income
2019-12-01,69,20,25,8,16,26,16,5,66,14,6,13,65,4
2020-01-01,71,21,26,9,17,28,20,7,72,22,8,12,64,4
2020-02-01,66,20,26,8,19,30,20,6,65,22,8,12,62,4
2020-03-01,64,14,34,38,21,31,20,4,85,20,8,11,61,3
2020-04-01,47,9,46,64,26,41,22,5,91,24,8,14,55,3
2020-05-01,45,9,40,27,24,43,23,5,77,30,9,16,71,3
2020-06-01,45,10,36,18,21,41,24,6,73,31,8,15,74,3
2020-07-01,46,10,40,19,20,44,24,6,73,30,9,15,76,4
2020-08-01,48,12,42,16,19,44,23,6,73,27,8,15,72,4
2020-09-01,42,9,37,13,16,40,20,6,67,22,7,13,59,4
2020-10-01,43,9,39,14,17,38,17,6,63,22,8,14,62,4
2020-11-01,43,9,41,16,15,36,17,11,60,17,7,14,57,3
2020-12-01,46,8,48,19,18,37,15,10,78,16,7,13,60,4
2021-01-01,44,9,46,19,19,41,15,12,69,24,8,14,55,5
2021-02-01,49,11,46,18,19,52,20,10,65,22,8,15,59,5
2021-03-01,54,11,45,14,18,58,15,9,65,25,7,13,61,4
2021-04-01,50,11,46,14,17,43,14,9,69,27,8,12,65,5
2021-05-01,52,12,44,14,16,42,15,10,71,25,7,12,68,5
2021-06-01,56,12,43,13,14,39,16,11,76,22,7,11,75,5
2021-07-01,55,12,41,14,14,40,17,9,74,21,7,12,76,7
2021-08-01,52,12,41,15,14,38,14,9,73,21,7,13,72,5
2021-09-01,51,12,39,16,14,36,16,10,71,18,7,12,69,5
2021-10-01,53,10,37,14,13,38,15,9,65,18,7,12,66,5
2021-11-01,52,11,38,15,13,40,16,10,64,16,7,15,64,6
2021-12-01,50,11,43,18,15,38,16,10,67,14,6,12,68,6
2022-01-01,54,11,50,25,17,62,29,12,71,17,8,14,59,8
2022-02-01,61,12,47,19,15,58,29,11,72,18,9,13,61,7
2022-03-01,64,13,45,17,14,56,27,11,72,19,8,13,63,7
2022-04-01,65,12,44,17,14,59,28,18,76,17,7,13,61,8
2022-05-01,59,13,46,18,14,52,27,12,78,16,7,12,64,6
2022-06-01,59,12,45,16,12,55,31,14,82,15,8,12,69,7
2022-07-01,60,13,48,18,18,52,33,15,80,17,11,13,73,7
2022-08-01,56,13,41,17,13,55,31,14,81,14,9,14,68,8
2022-09-01,55,11,40,16,12,51,28,14,79,12,7,12,59,7
2022-10-01,55,12,40,16,12,50,30,13,77,12,7,13,58,6
2022-11-01,53,12,42,16,11,49,29,13,71,10,7,13,56,6
2022-12-01,55,11,45,18,12,49,27,14,74,10,7,13,55,7
2023-01-01,57,11,44,17,11,60,35,20,75,13,9,13,55,8
2023-02-01,60,13,47,17,12,58,34,13,73,13,9,12,57,7
2023-03-01,58,12,47,17,11,54,33,13,74,14,9,12,58,7
2023-04-01,58,12,44,16,10,53,32,15,75,12,9,19,58,8
2023-05-01,63,12,40,16,11,52,33,16,77,12,9,13,63,7
2023-06-01,63,12,44,16,12,54,34,14,81,12,9,12,67,8
2023-07-01,64,11,43,16,11,57,32,13,84,12,10,13,66,7
2023-08-01,60,11,41,16,10,56,32,13,75,11,9,14,62,6
2023-09-01,57,11,40,18,10,48,28,12,77,10,9,11,59,6
2023-10-01,62,11,40,15,9,48,28,12,79,9,8,11,56,5
2023-11-01,58,11,41,14,8,45,27,11,76,8,8,13,55,6
2023-12-01,61,10,43,16,9,43,24,12,78,8,7,13,57,5
2024-01-01,62,11,44,17,8,49,31,13,76,10,9,12,54,7
2024-02-01,62,12,49,15,8,50,32,12,80,11,9,11,53,6
2024-03-01,61,11,45,15,9,47,27,12,75,10,9,10,55,6
2024-04-01,61,10,42,14,8,45,27,12,79,11,9,11,57,6
2024-05-01,62,11,42,15,8,44,31,11,78,10,9,10,59,5
2024-06-01,65,10,43,15,10,44,31,12,82,9,8,12,65,5
2024-07-01,66,11,42,14,8,51,28,11,86,9,10,11,63,5
2024-08-01,62,11,40,14,8,46,29,11,81,8,9,10,61,5
2024-09-01,58,10,41,13,8,41,27,10,78,8,8,17,54,4
2024-10-01,59,10,37,13,8,40,24,10,71,8,8,13,52,4
2024-11-01,57,10,41,14,7,39,22,9,79,7,7,16,51,4
2024-12-01,61,10,44,15,7,39,23,10,75,6,6,13,55,4
2025-01-01,60,10,45,15,7,45,29,12,75,8,8,12,49,5
2025-02-01,64,12,47,15,7,45,26,10,81,7,10,10,49,5
2025-03-01,57,10,45,14,6,42,27,10,77,8,8,9,50,5
2025-04-01,61,10,43,13,6,42,27,10,78,8,8,9,53,5
2025-05-01,63,11,46,13,6,44,27,11,78,8,7,10,59,4
2025-06-01,67,11,46,14,6,46,29,11,88,8,8,10,60,6
2025-07-01,76,12,53,15,7,54,36,11,100,9,8,11,66,9
2025-08-01,67,12,48,14,7,49,30,10,96,7,7,11,62,6
2025-09-01,63,11,46,13,7,41,25,9,89,7,7,10,53,5
2025-10-01,65,12,51,13,7,41,24,10,86,6,7,9,54,6
2025-11-01,69,12,52,13,7,41,28,10,98,7,8,12,56,5
2025-12-01,66,12,56,15,7,38,26,12,96,6,6,12,56,5
